gender,age,race/ethnicity,parental level of education,ParentMaritalStatus,PracticeSport,lunch,school mark,school_type,test preparation course,Stress,daily studing time,prefer to study in,Financial Status,social_support,extracurricular_activities,teacher_student_relationship,anxiety_level,self_esteem,depression,noise_level,safety,basic_needs,week_absences,internet,daily_freetime,Sleep_Hours,Adaptivity Level,Additional work,Transportation to the school,Taking notes in classes,Listening in classes,teaching_method,school_setting,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Structuring of the course,score,decision
female,24,group B,high school,married,regularly,standard,4,Non-Public,completed,No,4,Morning,Bad,No,Yes,Moderate,Moderate,No,No,Moderate,Yes,Moderate,8,No,High,7,Moderate,Yes,Yes,never,Law,Standard,Urban,Law,Moderate,Moderate,Law,86,PASS
female,24,group E,'bachelor''s degree',married,sometimes,standard,3,Non-Public,completed,No,3,Morning,Bad,High,Yes,Moderate,Moderate,High,High,High,Yes,Moderate,3,No,No,6,Moderate,No,Yes,sometimes,Law,Standard,Urban,Moderate,High,Moderate,Law,96,PASS
female,19,group C,high school,single,sometimes,standard,1,Non-Public,completed,No,3,Anytime,Bad,High,Yes,Moderate,Moderate,Moderate,High,Moderate,Yes,Moderate,1,Yes,No,6,Moderate,No,No,regulary,Law,Standard,Urban,Moderate,Moderate,Moderate,Law,82,PASS
male,21,group D,high school,married,never,free/reduced,1,Non-Public,none,No,4,Anytime,Fabulous,High,Yes,No,No,High,High,High,Yes,Moderate,1,No,No,4,Moderate,Yes,No,regulary,High,Standard,Urban,Moderate,Moderate,Law,High,53,FAIL
male,19,group C,some high school,married,sometimes,standard,5,Non-Public,none,Moderate,3,Morning,Fabulous,No,Yes,Moderate,High,No,No,High,Yes,High,1,Yes,No,5,Low,Yes,Yes,never,High,Standard,Urban,High,High,Moderate,Moderate,44,FAIL
female,20,group D,'associate''s degree',married,regularly,free/reduced,3,Non-Public,none,No,5,Night,Fabulous,Moderate,Yes,Moderate,Moderate,Moderate,Moderate,High,Yes,Moderate,1,No,No,7,Low,Yes,Yes,sometimes,High,Standard,Urban,Law,Moderate,High,Moderate,76,PASS
male,24,group B,some college,widowed,never,standard,1,Non-Public,none,Moderate,5,Morning,Fabulous,No,Yes,Moderate,High,Moderate,No,Moderate,Yes,High,0,No,Moderate,5,Low,Yes,No,sometimes,Law,Standard,Urban,Law,Law,Law,Law,70,PASS
male,19,group C,'bachelor''s degree',married,sometimes,standard,3,Non-Public,completed,Moderate,5,Morning,Fabulous,Moderate,No,No,High,No,No,High,No,Moderate,2,No,High,7,Moderate,Yes,No,regulary,Law,Standard,Urban,High,Moderate,Moderate,Law,93,PASS
male,18,group D,high school,single,sometimes,standard,2,Non-Public,none,No,2,Morning,Bad,No,Yes,High,Moderate,Moderate,High,High,Yes,High,3,No,High,4,Low,No,No,never,Law,Standard,Urban,Moderate,High,Moderate,Moderate,41,FAIL
male,23,group B,'bachelor''s degree',married,regularly,standard,3,Non-Public,completed,Moderate,4,Anytime,Fabulous,Moderate,Yes,High,Moderate,Moderate,High,No,Yes,Moderate,4,Yes,High,6,Moderate,No,Yes,never,High,Standard,Urban,High,Law,Moderate,Moderate,90,PASS
